Episode 1, Reward -4480.252770040478 
Episode 2, Reward -7296.955013790893 
Episode 3, Reward -4279.81018768113 
Episode 4, Reward -10648.192534672336 
Episode 5, Reward -5885.3612490863925 
Episode 6, Reward -8821.095504124425 
Episode 7, Reward -4927.6324890456235 
Episode 8, Reward -7810.748339301213 
Episode 9, Reward -5015.686735205408 
Episode 10, Reward -8255.76399506512 
Episode 11, Reward -4349.683585456047 
Episode 12, Reward -7597.013305577942 
Episode 13, Reward -8770.014432732833 
Episode 14, Reward -4784.606593589106 
Episode 15, Reward -4711.4873119498025 
Episode 16, Reward -4451.389392122652 
Episode 17, Reward -5040.516503923131 
Episode 18, Reward -7104.469544954271 
Episode 19, Reward -3784.60425444942 
Episode 20, Reward -9314.195249199902 
Episode 21, Reward -7667.021081119456 
Episode 22, Reward -6751.060477641516 
Episode 23, Reward -5894.137060714644 
Episode 24, Reward -5159.716087115229 
Episode 25, Reward -5838.6535405915365 
Episode 26, Reward -9472.215229532261 
Episode 27, Reward -9188.614907656021 
Episode 28, Reward -5298.570720469987 
Episode 29, Reward -4390.088499071688 
Episode 30, Reward -6755.123951864608 
Episode 31, Reward -5222.0099514513095 
Episode 32, Reward -4298.990201462011 
Episode 33, Reward -4283.620802049747 
Episode 34, Reward -8048.199428850795 
Episode 35, Reward -7505.550075988973 
Episode 36, Reward -4889.271269732533 
Episode 37, Reward -8003.382308986037 
Episode 38, Reward -6286.254011616546 
Episode 39, Reward -8010.432848874334 
Episode 40, Reward -5996.38353503453 
Episode 41, Reward -4974.764261875383 
Episode 42, Reward -3601.1999857294945 
Episode 43, Reward -5094.268011987805 
Episode 44, Reward -7947.7130492082615 
Episode 45, Reward -5072.294526655896 
Episode 46, Reward -6206.8521651972915 
Episode 47, Reward -9506.535480557313 
Episode 48, Reward -4403.364198692595 
Episode 49, Reward -8717.609615268857 
Episode 50, Reward -6498.828204090872 
Episode 51, Reward -8661.170965235262 
Episode 52, Reward -7546.136411820078 
Episode 53, Reward -7359.009501359633 
Episode 54, Reward -4282.077184155869 
Episode 55, Reward -7831.5372081531095 
Episode 56, Reward -6438.525629240692 
